word_fr;word_en;phrase_fr;phrase_en
législation;legislation; une législation européenne serait libérale par définition ; a European law would be liberal by definition
approprier;to adapt, appropriate, take over; dommage que les touristes anglais se l'approprient ; too bad the English tourists have taken it over
tactique;tactics, tactical; les Allemands avaient changé de tactique ; the Germans changed tactics 
thèse;thesis, argument; vous avez publié cette thèse? ; did you publish this thesis? 
acceptable;acceptable, satisfactory; une personne doit avoir un revenu acceptable ; a person must have a decent income 
surgir;to spring up; de Transylvanie surgit un chevalier roumain ; from Transylvania a Romanian knight suddenly appeared
prince;prince; je suis une princesse et je dois épouser un prince ; I'm a princess and I must marry a prince 
vidéo;video; montre-lui tes nouveaux jeux vidéo ; show him your new video games 
semer;to sow, scatter, spread; ça sème la confusion dans l'esprit des gens ; it sows confusion in people's minds 
créateur;creator; il faut que les créateurs d'entreprises deviennent des employeurs ; entrepreneurs must become employers
partenariat;partnership; nous pouvons renforcer notre partenariat ; we can strenghten our partnership 
file;line, queue; les fichiers seront placés dans la file d'attente ; the files were placed in the queue 
chômeur;unemployed person; je me suis retrouvé plus ou moins chômeur ; I found myself more or less unemployed 
correct;correct; d'accord, ça me paraît correct ; OK, that seems correct to me 
cuisine;cooking, kitchen; je croyais que tu aimais la cuisine chinoise ; I thought you liked Chinese food 
succéder;to succeed, take over; il est extrêmement difficile de lui succéder ; it's extremely difficult to take over his position 
royaume;kingdom; au début, son royaume était de taille moyenne ; at first, his kingdom was of average size 
rebelle;rebel, rebellious; la bande rebelle n'échappera pas à la justice ; the rebel band will not escape justice 
provenance;origin, strange; les investissements en provenance de l'extérieur diminuent ; investments from abroad are decreasing
fumer;to smoke; j'ai déjà fumé deux cigarettes ; I had already smoked two cigarettes 
dessin;drawing, pattern, design; vous aimez les dessins animés? ; do you like cartoons? 
viande;meat; depuis, je ne mange plus de viande ; since then, I don't eat any meat 
paramètre;parameter; le commutateur d'origine fixe les paramètres ; the master switch sets the parameters 
gré;liking; je vous sais gré de votre compréhension ; I am grateful that you have understood 
dessous;underneath, below, bottom, underside; il retira la main de dessous sa chemise ; he pulled his hand out from underneath his shirt 
voyageur;traveler; c'est un voyageur chevronné ; he's an accomplished traveler 
réaliste;realist, realistic; la reproduction est absolument réaliste ; the reproduction is absolutely realistic 
condamnation;condemnation; le jury doit prononcer sa condamnation vendredi ; the jury must sentence him on Friday 
similaire;similar; les relevés indiquent une atmosphère similaire à la nôtre ; the statements point to an atmosphere similar to ours
employeur;employer; l'employeur et les employés ont tous deux contribué ; both the employers and the employees contributed
paysage;landscape, scenery, countryside; ma bibliothèque est mon paysage mental ; my library is my mental countryside 
discret;discreet, tactful, quiet; ils voulaient un mariage discret ; they wanted to have a low-key marriage 
longueur;length; la longueur d'un document d'opérateur est arbitraire ; the length of an operator's manual is arbitrary
lentement;slowly; il se mit à rouler lentement le long du trottoir ; he started rolling slowly along the sidewalk 
miracle;miracle; les miracles arrivent tous les jours ; miracles happen every day 
déboucher;to unblock, uncork; il déboucha la bouteille et nous servit ; he uncorked the bottle and served us 
illégal;illegal; je veux m'assurer que cela devienne illégal ; I want to be sure that this becomes illegal 
expansion;expansion; on est dans une ère d'expansion ; we're in an era of expansion 
mutuel;mutual; c'est un accord obtenu par consentement mutuel ; it's an agreement obtained by mutual consent
sage;wise, good, sound, sensible; vous avez pris une sage décision ; you have made a wise decision 
commandement;command, order, commandment; vous avez transgressé le premier commandement ; you have broken the first commandment 
correspondant;correspondent; pas un envoyé spécial mais un correspondant permanent ; not a special envoy but a permanent correspondent
grimper;to climb, go up; tu peux grimper à la corde? ; can you climb a rope? 
pause;break, pause; nous allons prendre une pause pour le déjeuner ; we're going to take a break for lunch 
répartition;distribution, spreading; je suis pour la répartition des tâches ; I'm for dividing up the tasks 
sacrifier;to sacrifice, give away; il sacrifiera sa vie pour sauver la tienne ; he sacrificed his life to save yours 
chimique;chemical; aujourd'hui ce qui est chimique est ressenti comme dangereux ; today what's chemical is felt to be dangerous
compétition;competition; la compétition est donc très ouverte et féroce ; the competition is thus very open and ferocious
combiner;to combine, devise; vous avez réussi à combiner écologie et rentabilité ; you have succeeded in combining ecology and profitability
touriste;tourist; suis-moi et joue les touristes ; follow me and pretend to be tourists 
ravir;to delight, rob; je suis ravi de vous voir ; I'm thrilled to see you 
pardon;forgiveness; je suis venu pour te demander pardon ; I came to ask your forgiveness 
filet;dribble, trickle, wisp, streak, thread, fillet, net; le navire a même coupé ses filets ; the boat even cut his nets 
atomique;atomic; comment survivre à une attaque atomique? ; how can one survive an atomic attack? 
contribuable;taxpayer; ces études sont financées par les contribuables ; these studies are financed by the taxpayers 
progressivement;progressively; il commença à perdre progressivement la vue ; he gradually began to lose his sight 
progression;progression; ces capacités sont en faible progression ; these capacities are progressing weakly 
nez;nose; le sang coulait de son nez sur ses vêtements ; blood flowed from his nose onto his clothing 
antérieur;previous, earlier, front; j'ai connu le système judiciaire antérieur ; I knew the previous judiciary system 
inacceptable;unacceptabe; selon nous, c'est totalement inacceptable ; according to us, that's totally unacceptable 
progressif;progressive; nous avons effectivement un système progressif ; we do indeed have a progressive system 
adhésion;membership, support; l'adhésion des États candidats à l'Union européenne ; membership of the candidate states in the European Union
portrait;portrait, photograph; il nous dit que nous sommes les portraits de Dieu ; he told us we are portraits of God 
détailler;to detail; j'ai reçu une lettre détaillée ; I received a detailed letter 
valable;valid; comme toute histoire valable, celle-ci concerne une fille ; like every worthwhile story, this one is about a girl
coordination;coordination; la coordination est considérée comme un problème de gestion ; coordination is considered a management problem
sportif;sports, athletic, competitive; il est jeune et sportif ; he's young and athletic 
rose;"rose; pink"; j'ai regardé le ciel tout rose derrière les arbres noirs ; I watched the pink sky with black trees in the foreground
quête;quest, pursuit, collection; au lycée, la quête de popularité est une guerre ; in high school, the pursuit of popularity is warfare
compromis;compromise, agreement; la vie est un compromis ; life is a compromise 
investisseur;investor; les investisseurs semblaient satisfaits par les résultats ; the investors seemed satisfied by the results
présumer;to presume, assume; je présume que vous êtes carnivore ; I assume you're a carnivore 
abandon;abandonment, desertion, withdrawal; c'est ce qu'on appelle un abandon de poste ; that's what you call dereliction of duty 
identique;identical; les circonstances sont identiques ; the circumstances are identical 
exploser;to explode, blow up; trois bombes ont successivement explosé mercredi matin ; three bombs exploded successively Wednesday morning
mensonge;lie; j'en ai marre de vos mensonges ; I'm fed up with your lies 
défaite;defeat; malgré la défaite, la foule a ovationné l'équipe ; in spite of the defeat, the crowd gave the team a standing ovation
meurtrier;murderer, deadly, lethal; je serai la meurtrière de mon mari ; I will be the murderer of my husband 
rigoureux;rigorous, harsh, strict; il est méthodique, rigoureux et, pire que tout, patient ; he is methodical, rigorous, and worst of all patient
mentir;to lie; je t'ai menti. je t'ai caché des choses ; I lied to you. I hid things from you 
fréquent;frequent; les visites peuvent être plus fréquentes ; the visits can be more frequent 
œuf;egg; n'oublie pas de chercher tes œufs de Pâques ; don't forget to look for your Easter eggs 
ambassadeur;ambassador; le Pakistan renvoie un ambassadeur en Inde ; Pakistan is sending its ambassador back to India
observateur;observer, observant; je suis un observateur clinique de la comédie humaine ; I'm a clinical observer of human comedy
revêtir;to take on, assume; on revêt les nouvelles lunettes de soleil ; you put on the new sunglasses 
accessoire;accessory; on ne vend ni ski ni accessoire ; we don't sell skis or accessories 
acquisition;acquisition, acquire, purchase; nous ne souhaitons ni fusion ni acquisition ; we don't want a merger or an acquisition 
tournée;tour, round; c'est la dernière tournée. le bar va fermer ; that's the last round. the bar's going to close 
tranche;slice, edge, section, bracket, slot; il tient une tranche serrée dans sa main ; he's holding a slice tightly in his hand 
plage;beach; il marchait pieds nus sur la plage ; he walked barefoot along the beach 
inspecteur;inspector; tu seras un excellent inspecteur ; you will be an excellent inspector 
tempête;storm, gale, turmoil; la tempête se calme, j'ai l'impression ; the storm is dying down, I think 
tissu;fabric, material, cloth, tissue, woven; j'ai fait des dessins sur le tissu de vieux rideaux ; I made drawings on the cloth from old curtains
souverain;sovereign, supreme ruler, monarch;ce sera le 66e séjour du souverain pontife à l'étranger;this will be the 66th stay abroad for the sovereign pontiff
distinct;distinct; Henri et moi nous étions deux êtres distincts ; Henri and I were two separate beings 
survie;survival; je peux calculer vos chances de survie ; I can calculate your chances for survival 
repousser;to push away, postpone; elle m'a repoussée, elle s'est jetée sur l'herbe ; she pushed me away, she threw herself on the lawn
adaptation;adaptation; je fais surtout des adaptations d'auteurs étrangers ; I mostly do adaptations based on foreign authors
plante;plant; tu es une belle plante. tu es la fleur de ma passion ; you're a beautiful plant passion.
nuire;to harm; ils nuisent à la santé ; they are harmful to one's health 
putain;"whore, bitch; stupid"; putain mais qu'est-ce que tu fais? ; what're you doin', stupid? 
imagination;imagination; mon imagination folle m'a trompée ; my foolish imagination deceived me 
accusé;defendant; l'accusé devra remettre son passeport ; the accused must surrender his passport 
repérer;to spot, pick out, locate, find; ils ont repéré le tireur, vers le sud ; they located the sniper, towards the south 
directive;guideline; tout est prêt. j'attends vos directives ; everything's ready. I await your orders 
rural;rural; les régions rurales constituent un genre de refuge ; rural regions are a kind of refuge 
persister;to persist, keep up, linger; vous persistez à vouloir faire votre devoir? ; do you still want to do your duty? 
coalition;coalition; un soldat de la coalition a été blessé dans l'opération ; a coalition soldier was injured during the operation
diplomatique;diplomatic; nous préférons une solution diplomatique ; we prefer a diplomatic solution 
excellence;excellence; celle-ci sera un centre d'excellence ; this one will be a center of excellence 
apparence;appearance; les apparences sont trompeuses ; appearances are deceiving 
oriental;Oriental; il portait de somptueux vêtements orientaux ; he wore sumptuous Oriental clothing 
écriture;writing; l'écriture, c'est un besoin pour moi ; writing is a need that I have 
parcours;journey, course, route; je suis en bout de parcours ; I'm at the end of a journey 
républicain;republican; vous votez démocrate ou républicain? ; are you voting Democrat or Republican? 
embarquer;to embark, board, take on board, load; les hommes chantaient en embarquant sur les navires anglais ; the men sang while boarding the English ships
révolte;revolt; ma raison d'écrire naît de la révolte ; my reason for writing began in the rebellion 
intéressé;concerned, involved; je ne m'étais jamais vraiment intéressé à la question ; I wasn't ever really interested in the question
formidable;tremendous, considerable; j'ai fait quelques rencontres formidables ; I had some tremendous meetings 
tas;pile, lots of; ça explique des tas de choses ; that explains lots of things 
déjeuner;"lunch; to have lunch"; nous achevons de déjeuner à la française ; we have just finished eating a French lunch 
disputer;to dispute; nous avons tort de nous disputer ainsi ; it's wrong for us to quarrel like this 
élite;elite; l'élite se définissait selon lui par l'intelligence ; according to him, the elite are defined by intelligence
malheur;misfortune; je n'aime pas profiter du malheur des autres ; I don't like to profit from the misery of others 
aube;dawn, daybreak; il était parti avant l'aube, comme un fuyard ; he left before dawn, like a runaway 
salon;lounge, living room; nous étions assis dans le grand salon ; we were sitting in the large living room 
infliger;to inflict; désolée de devoir vous infliger ça maintenant ; sorry to have to inflict this upon you now 
repos;rest; ça faisait trois heures de repos ; the rest was three hours long 
déranger;to disturb, bother; ça vous dérange si je m'assieds? ; will it bother you if I sit down? 
inhabituel;unusual; nous nous trouvons dans une situation inhabituelle ; we find ourselves in an unusual situation 
interdiction;ban, banning; cette interdiction s'applique aux télévisions ; this ban applies to televisions 
consentir;to consent, agree; les syndicats ont consenti une réduction des salaires ; the unions agreed to a salary reduction 
variable;variable; c'est très variable, ça dépend ; it's quite variable, it depends 
médecine;medecine, medical science; deux étudiants en médecine suédois m'écrivaient ; two Swedish medical students wrote me 
contradictoire;contradictory, conflicting; la colonisation française fut un processus contradictoire ; French colonization was a contradictory process
exclusivement;exclusively, solely; ils avaient des ventes exclusivement au Japon ; they had sales exclusively in Japan 
cible;target; les cibles des terroristes représentaient les symboles du capitalisme ; terrorist targets represented the symbols of capitalism
détenu;prisoner; le pourcentage de détenus séropositifs est très élevé ; the percentage of HIV-positive detainees is very high
volontiers;with pleasure, willingly, gladly; je serais volontiers mort dans cette maison ; I would gladly die in this house 
fauteuil;armchair, seat; j'étais assis dans ce fauteuil ; I was sitting in this armchair 
couloir;corridor, aisle; j'emprunte le couloir ; I'm taking the hallway 
enthousiasme;enthusiasm, enthusiastically; l'enthousiasme fit place à une méfiance extrême ; enthusiasm gave way to extreme distrust 
télé;TV; on n'avait pas de télé, de CD, de DVD ; we had no TV, no CD player, no DVD player 
éthique;ethical, ethics; le clonage représente évidemment plusieurs problèmes éthiques ; cloning obviously poses several ethical problems
révision;review, revision, overhaul; il y aura une révision périodique du régime ; there will be periodic regime change 
pointer;to mark off, clock in, clock out, aim; pourquoi cette femme pointe-t-elle une arme sur toi? ; why is that woman aiming a gun at you?
assassiner;to murder, assassinate; il mourut assassiné ; he was assassinated 
optimiste;optimistic; êtes-vous optimiste quant à l'avenir des jeunes? ; are you optimistic about the future of the youth?
instaurer;to institute, introduce; notre nouveau directeur a instauré un programme pour travailler en équipe ; our new director started a teamwork program
isolé;remote, isolated, insolated; dans quelques semaines, on sera isolés par la glace ; in a few weeks, we will be isolated by the ice
revendiquer;to claim; l'attentat n'a pas été revendiqué ; no responsibility has been claimed for the attack 
secouer;to shake; elle secoue mes couvertures dans tous les sens ; she shakes out my bedding in every direction 
bizarre;strange, odd; les effets de la maladie sont bizarres ; the effects of the sickness are bizarre 
abus;abuse, misuse, breach; il y a eu des abus sexuels ; there was sexual abuse 
procédé;processus; c'est un procédé continuel chez moi ; it's an ongoing process with me 
pêcheur;fisherman; les pêcheurs sont les hommes de la liberté ; fishermen are men of freedom 
amateur;amateur; j'ai eu des parents amateurs de théâtre ; I have parents who love the theater 
regret;regret, regretfully; aux vacances, nous nous séparions sans regret ; on vacation, we separated without regrets 
accroissement;increase; nous sommes tous atterrés par l'accroissement du chômage ; we're all crushed by the growth in unemployment
trimestre;"quarter; three months"; les perspectives sont bonnes pour le troisième trimestre ; the outlook is good for the third quarter
onde;wave; c'est comme une onde de choc ; it's like a shock wave 
spatial;spatial, space; la Station spatiale internationale n'a aucun rôle militaire ; the International Space Station has no military role
brut;raw, crude;la surface totale brute de ce bâtiment est de 215.000 m2;the total unfinished area of this building is 215,000 square meters
éventuellement;possibly; des sanctions seront éventuellement prises ; sanctions will eventually be taken 
vache;cow; dans d'immenses champs des vaches mâchaient ; cows munched in immense fields 
gris;grey; c'était une poule grise ; it was a grey hen 
aise;comfort, joy, pleasure, ease; je suis mal à l'aise dehors ; I am uneasy in the outdoors 
agression;agression; les agressions contre les femmes ont augmenté ; aggression against women has increased 
loisir;leisure; je dresse des chevaux dans mes loisirs ; I groom horses in my leisure time 
chaleur;heat; le soleil et la chaleur devenaient en outre excessifs ; the sun and the heat were becoming intense
ranger;to tidy up, put away; il range les deux tasses de café dans l'évier ; he places the two coffee mugs into the sink 
partage;division, cutting, sharing; la frontière régie jusqu'au partage de l'ombre et de la lumière ; the border extends to where the shadows and the light divide
étoile;star; nous couchions à la belle étoile ; we slept under the stars 
mystère;mystery; il y a des mystères que je ne peux résoudre ; there are mysteries that I can't resolve 
quasi;almost, nearly; on entretient un lien quasi mystique avec son pays natal ; we maintain an almost mystical connection with our native country
description;description; nous commençons par une brève description de mon père ; we start with a brief description of my father
serbe;Serbian; un vieil homme serbe a été tué par balle ; an old Serbian man was shot dead 
biologique;biological, nature; les études sur les effets biologiques des radiations sont restées rares ; studies on biological effects of radiation have been rare
universitaire;university, academic; j'étais occupée à des travaux de recherches universitaires ; I was busy doing university research work
emparer;to seize, grab, snatch; il n'était pas possible de s'emparer de la clef ; it wasn't possible to grab the key 
dent;tooth; elle repart en grinçant des dents ; she walks away gnashing her teeth 
neutre;neutral; mais mon travail n'est pas neutre et objectif ; but my work isn't neutral and objective 
aîné;oldest; mon fils aîné a onze ans ; my oldest son is eleven years old 
trahir;to betray, give away; personne ne te trahit, personne ne t'humilie ; nobody is betraying you, nobody is humiliating you
intelligence;intelligence; je n'insulterai pas votre intelligence ; I won't insult your intelligence 
admirer;to admire; j'admire ce que vous faites ; I admire what you do 
licence;licence, permit; il pourra imposer des conditions de licence particulières ; he can impose individual conditions on licenses
rigueur;harshness, severity, rigidness, rigor strictness; l'optimisme est en revanche de rigueur dans les assurances ; on the other hand optimism is mandatory in insurance dealings
maternel;motherly, maternal; ils s'écrivaient en yiddish, leur langue maternelle ; they wrote to each other in Yiddish, their first language
métal;metal; ils ont été équipés de détecteurs de métaux ; they were equipped with metal detectors 
palais;palace, palate; la Garde du palais n'est guère efficace ; the palace guard is no longer efficient 
belge;Belgian; nous voudrions féliciter la présidence belge pour l'initiative ; we would like to congratulate the Belgian presidency for the initiative
brutal;brutal; je trouve leur méthode de revendication brutale, injuste ; I find their reclamation method brutal, injust
extraire;to extract, mine, quarry, pull out, remove; l'ingénieur a extrait l'expertise empirique des pilotes ; the engineer extracted empirical expertise from the pilots
signification;significance; cette appellation a une signification politique très claire ; this trade name has a very clear political significance
filer;to spin, run, get out; terminons le reportage et filons d'ici ; let's stop our reporting and get out of here 
automatique;automatic; la perte de mémoire est presque automatique ; loss of memory is almost automatic 
accrocher;to hang up, hang on, put up; les manifestants ont accroché une pancarte ; the demonstrators put up a poster 
pain;bread; ça grille le pain pendant qu'on le tranche ; it toasts the bread while it's being sliced 
plateau;plateau, tray, set, stage; il repose la bouteille vide sur le plateau ; he sets the empty bottle on the tray 
répétition;repetition, rehearsal; on recommence les répétitions ce soir ; tonight we resume the rehearsals 
diminution;reduction, decreasing; les stocks de poissons sont en diminution, voire en disparition ; fishery resources are declining, even disappearing
collection;collection, series; j'ai une collection des lettres inédites de Freud ; I have a collection of Freud's unpublished letters
gène;gene; ils collent des gènes ensemble, je crois ; they splice genes, I think 
permanence;permanence, duty, service; les deux pieds doivent rester en permanence dans le triangle ; both feet must remain in the triangle
reine;queen; il a appartenu à une reine ... la reine de Perse ; it belonged to a queen ... the queen of Persia 
privatisation;privatization; la privatisation des entreprises du Kosovo a enfin commencé ; the privatization of companies in Kosovo has finally begun
correspondance;correspondance, connection; il avait brûlé un tas de correspondances, de carnets de notes ; he burned a pile of letters, notebooks
planter;to plant, pitch; vous achèterez vos bulbes d'oignons à planter ; you'll buy the onion bulbs to be planted 
strictement;strictly; nous ne sommes pas strictement obligés ; we aren't strictly obligated 
violation;violation, transgression; cela constitue une violation de sa probation ; that constitutes a violation of his probation 
compensation;compensation, clearing; nous avons offert une compensation aux provinces qui ont perdu de l'argent ; we offered compensation to the provinces that lost money
lycée;high school; il est professeur de philosophie au lycée ; he's a high school philosophy teacher 
con;stupid; on va le finir, ce con ; we're gonna take out that a**hole 
combinaison;combination; il était le seul à avoir la combinaison et tu l'as tué ; he alone knew the combination, and you killed him
injustice;injustice, unfairness; l'inégalité nourrit l'injustice, le soupçon et les préjugés ; inequality feeds injustice, suspicion, and prejudice
reportage;report, reporting; selon le reportage, son intervention aurait été annulée ; according to the report his talk was canceled
déception;disappointment, let-down; la déception pourrait n'être que temporaire ; the disappointment could only be temporary 
soucier;to care about, show concern for; tu n'as pas à te soucier de tes manières ici ; no need to worry about your manners here 
plafond;ceiling, roof, maximum; il y a des caméras dans le plafond ; there are cameras in the ceiling 
opérateur;operator; nous ne pouvions même pas appeler une opératrice ; we couldn't even call an operator 
camarade;friend, comrade, pal, mate; je me hâtai de revoir mes camarades ; I hurried back to see my comrades 
traduction;translation; alors, lis la traduction ; so, read the translation 
compréhension;understanding, comprehension; je vous suis reconnaissant de votre compréhension ; I thank you for your understanding 
réglementation;regulation; ces réglementations échappent au contrôle des parlementaires ; these regulations will escape parliamentary control
déplorer;to deplore; il déplore la montée des superstitions ; he deplores the upswing in superstition 
mobiliser;to mobilize, call up; il espère mobiliser le peuple ; he hopes to mobilize the people 
encadrer;to frame, train;les élèves seront encadrés par environ 850.000 enseignants;the students will be trained by some 850,000 teachers
gentil;nice, kind; elles sont extrêmement gentilles ; they are extremely nice 
folie;madness, folly, insanity; certains jeunes tombent dans la folie ; some youth lapse into folly 
terrorisme;terrorism; les Américains ont déclaré la guerre au terrorisme ; the Americans declared war on terrorism 
illusion;illusion; ne nous faisons pas d'illusions ; we aren't deceiving ourselves 
portefeuille;wallet; il m'a pris mon portefeuille! ; he took my wallet! 
séduire;to seduce, charm, captivate, appeal to; j'ai été séduite par votre jeunesse ; I was seduced by your youth 
précipiter;to quicken, hasten, precipitate; je jetai mon parapluie et me précipitai hors de la chambre ; I tossed my umbrella and dashed out of the room
clôture;"enclosure; termination, closure"; la clôture est trop haute ; the fence is too high 
piloter;to fly, pilot, drive; et qui pilotera l'avion? ; and who will fly the airplane? 
agréable;pleasant, nice, agreeable; c'est une chambre très agréable ; it's a very comfortable bedroom 
télécommunication;telecommunication; le secteur des télécommunications a connu la plus forte hausse ; the telecommunications sector experienced the greatest growth
désaccord;disagreement, discord, conflict; ces désaccords constituent une tension bénéfique ; these disagreements create beneficial tension
uranium;uranium; la séparation du plutonium de l'uranium est relativement facile ; separating plutonium from uranium is relatively easy
aliment;food; je cultive des aliments pour nourrir les gens ; I cultivate food to nourish people 
alimentation;diet, food, groceries, supply; l'alimentation et la santé sont étroitement reliées ; diet and health are intertwined 
pomme;apple; elle croqua la pomme avec un bruit qu'il détesta ; she crunched into the apple with a noise that he detested
ingénieur;engineer; son père était un ingénieur des chemins de fer ; her father was an railroad engineer 
vider;to empty, vacate; que personne ne bouge! toi, vide ce coffre ; nobody move! you, empty this safe 
attentif;attentive, scrupulous, careful; sois attentif, sois intelligent, sois rationnel ; be attentive, be intelligent, be rational 
démarrer;to start up; le feu a démarré dans l'escalier d'un restaurant ; the fire broke out in the stairwell of a restaurant
coordonner;to coordinate; il faut coordonner nos efforts pour le plus grand bien ; we have to coordinate our efforts for the greatest good
larme;tear; je suis sortie du cinéma en larmes ; I left the movie theater in tears 
sourd;deaf; le gouvernement fait la sourde oreille ; the government is turning a deaf ear 
cigarette;cigarette; je fumerai bien une cigarette ; I would sure like to smoke a cigarette 
vallée;valley; je marche dans la vallée de la mort ; I'm walking in the valley of death 
artificiel;artificial; je joue à des simulateurs de vie artificielle ; I play in artificial life simulations 
différer;to differ, vary; cette idée diffère sensiblement d'une hypothèse concurrente ; this idea differs noticeably from a current hypothesis
honorer;to honour, do credit to; c'était un soldat de Rome. honorez sa mémoire ; he was a Roman soldier. honor his memory 
entrevue;meeting, interview; j'ai l'impression que cette entrevue commence très mal ; I have the feeling that this interview has started out very poorly
ressort;"spring; resort; spirit"; l'Etat intervient en dernier ressort ; the state intervenes as a last resort 
fixe;fixed; j'ai l'idée fixe d'un crime étincelant ; I'm fixated on a glittering crime 
opportunité;opportunity, timeliness; c'est une merveilleuse opportunité de passer de belles vacances ; it's a wonderful opportunity to take a fine vacation
robe;dress; ta robe te va très bien, ma chérie ; your dress looks very nice on you, dear 
plaque;plate, tag, plaque; il subsiste un danger local élevé de plaques de neige ; there are increased local risks of snow accumulations
découler;to ensue, follow; une conséquence importante en découle ; an important consequence follows from that 
décisif;decisive; nous arrivons à un moment décisif ; we have come upon a decisive moment 
piège;trap; c'est un piège dans lequel je ne veux pas tomber ; it's a trap I don't want to fall into 
prédire;to predict; il lui a prédit qu'elle aurait un enfant ; he predicted that she would have a child 
enterrer;to bury, lay aside; enterre-moi dans un tombeau sans nom ; bury me in an unmarked grave 
refuge;refuge; j'ai trouvé refuge dans de piètres endroits ; I found refuge in dismal places 
recouvrir;to cover, hide, conceal; la Terre est recouverte d'eau ; the Earth is covered with water 
pente;slope; la route gravit maintenant des pentes abruptes ; now the road climbs up steep inclines 
album;album; j'ai toujours rêvé de faire un album ; I always dreamt of making an album 
mixte;mixed; trois enfants issus d'un couple mixte périssent dans un incendie ; three mixed-race children perish in a fire
clinique;clinic; je l'ai emmenée à la clinique ; I took her to the clinic 
spectateur;member of the audience, spectator, onlooker; les spectateurs s'enfuient épouvantés ; the onlookers fled, terror-stricken 
axe;axis, axle, main line; désormais, nous nous concentrons sur deux axes ; from now on, we will focus on two dimensions
chasseur;hunter, fighter, page, messenger; je suis un chasseur qui ne tue pas sans hésiter ; I'm a hunter who doesn't kill without hesitation
chéri;darling, love, dear; bonjour, chéri. comment s'est passée ta journée? ; hello, dear. how was your day? 
peinture;painting, paint, picture; j'ai pensé à détruire ces peintures pas mal de fois ; I thought of destroying these paintings fairly often
déchet;scrap, waste, trash, garbage; les déchets de l'aire métropolitaine continueront de s'accumuler ; the trash from the metropolitain area will continue to accumulate
siéger;to sit; moi-même et mon gouvernement siégions en Algérie ; I and my government reign in Algeria 
grand-chose;not very much; ça ne veut pas dire grand-chose ; that doesn't mean very much 
temporaire;temporary; la célébrité de tout président est temporaire ; the fame of every president is fleeting 
affiche;poster, public notice, bill; j'ai mon nom sur des affiches ; I have my name on posters 
massacre;massacre, slaughter; ce massacre n'a pas été revendiqué ; nobody has claimed responsibility for this massacre 
actualité;current events, news; le présent, l'actualité ne m'intéressent pas ; the present, current events don't interest me 
redevenir;to become again; je vais redevenir célibataire ; I'm going to become single again 
crucial;crucial, critical; nous sommes à un moment crucial de notre histoire ; we are at a critical moment of our history
marine;marine, navy; aujourd'hui, vous êtes des marines ; today you are marines 
cadavre;corpse; son cadavre apparaîtra à la fin du film ; his corpse will appear at the end of the film 
fleuve;river; le fleuve coule toujours dans le même sens ; the river always flows in the same direction 
toit;roof; ils sont sur le toit de mon bus ; they're on the roof of my bus 
mécanique;mechanical; c'était aussi un piano mécanique ; it was also a player piano 
transparence;transparency; nous préférons le dirigisme à la transparence ; we prefer active leadership to transparency 
amorcer;to bait, prime, begin, initiate; la réaction en chaîne est amorcée ; the chain reaction has been initiated 
détester;to hate, detest; je déteste la viande, je suis végétarien ; I hate meat 
fondateur;founder; il faut rappeler le rôle fondateur qu'a joué ; let me remind you of the founding role that he played
charte;charter; la charte olympique interdit toute discrimination ; the Olympic charter forbids any discrimination
productivité;productivity; il faut augmenter la productivité du travail ; we have to increase work productivity 
succession;succession; c'est une succession de catastrophes ; it's a succession of catastrophes 
simplifier;to simplify; je pourrais peut-être simplifier les choses pour vous ; perhaps I can simplify things for you 
briller;to shine; la lune brillait maintenant dans tout son éclat ; the moon shone now in full glory 
ambitieux;ambitious, man with ambition; les socialistes appuient un plan ambitieux ; the socialists are supporting an ambitious plan 
sale;dirty; je déteste cette sale ville ; I hate this dirty city 
consentement;consent; il n'y a pas consentement unanime ; there is no unanimous consent 
chapeau;hat; il se pencha pour ramasser son chapeau et ses sacs ; he leaned over to gather his hat and his bags
calmer;to calm down; j'ai pas besoin de me calmer ; I don't need to calm myself 
mythe;myth; le mythe grec est le produit d'une tradition orale ; the Greek myth is the result of oral tradition
alternative;alternative, choice; il y avait une autre alternative à la guerre ; there was another alternative to war 
soulager;to relieve, soothe, ease;puis je me réveillais, soulagée d'avoir 23 ans;then I woke up, relieved to be 23 years old
scrutin;ballot, poll; nous établirions des dates de scrutin fixes ; we will establish fixed dates for voting 
culpabilité;guilt; la police a rassemblé les preuves établissant leur culpabilité ; the police gathered proof to establish their guilt
considérablement;considerably, significantly, extensively; nous proposons de réduire considérablement les impôts ; we propose to reduce taxes considerably
bouleverser;to upset, distress, disturb, turn upside down; nous avons toujours le moyen de bouleverser le cours des évènements ; we always have the means to upset the course of events
introduction;introduction; nous ne pouvons accepter l'introduction d'amendements ; we cannot accept the introduction of new amendments
dramatique;dramatic, tragic, drama; ça va être dramatique pour la facture de téléphone ; the telephone bill will be spectacular 
vaincre;to beat, defeat, overcome, conquer; nous sommes nés pour vaincre ; we were born to conquer 
pétition;petition; je voudrais déposer cette pétition ; I would like to submit this petition 
renseigner;to give information, get information; renseigne-moi, je veux savoir ; tell me, I want to know 
ordonnance;prescription, organisation, edict, ruling; le policier ignore si l'ordonnance est encore en vigueur ; the policeman doesn't know whether the ruling is still in effect
aile;wing, sail, blade; l'oiseau battra des ailes jusqu'à sa mort ; the bird will beat its wings until its death 
température;temperature; il faut que j'aille prendre ma température ; I have to go take my temperature 
